"16-Teraflops, &pound;97m Cray To Replace IBM At UK Meteorological Office",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/tc8e-Iv4wDc/story01.htm,"Memetic writes: The UK weather forecasting service is replacing its IBM supercomputer with a Cray XC40 containing 17 petabytes of storage and capable of 16 TeraFLOPS. This is Cray's biggest contract outside the U.S. With 480,000 CPUs, it should be 13 times faster than the current system. It will weigh 140 tons. The aim is to enable more accurate modeling of the unstable UK climate, with UK-wide forecasts at a resolution of 1.5km run hourly, rather than every three hours, as currently happens. (Here's a similar system from the U.S.)<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=16-Teraflops%2C+%26pound%3B97m+Cray+To+Replace+IBM+At+UK+Meteorological+Office%3A+http%3A%2F%2Fbit.ly%2F10y1w19""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fhardware.slashdot.org%2Fstory%2F14%2F10%2F29%2F0314209%2F16-teraflops-97m-cray-to-replace-ibm-at-uk-meteorological-office%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://hardware.slashdot.org/story/14/10/29/0314209/16-teraflops-97m-cray-to-replace-ibm-at-uk-meteorological-office?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://hardware.slashdot.org/story/14/10/29/0314209/16-teraflops-97m-cray-to-replace-ibm-at-uk-meteorological-office?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=5891321&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/3fef9657/sc/30/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/211596969885/u/49/f/647410/c/35028/s/3fef9657/sc/30/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211596969885/u/49/f/647410/c/35028/s/3fef9657/sc/30/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211596969885/u/49/f/647410/c/35028/s/3fef9657/sc/30/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211596969885/u/49/f/647410/c/35028/s/3fef9657/sc/30/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211596969885/u/49/f/647410/c/35028/s/3fef9657/sc/30/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211596969885/u/49/f/647410/c/35028/s/3fef9657/sc/30/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/211596969885/u/49/f/647410/c/35028/s/3fef9657/sc/30/a2.htm""><img src=""http://da.feedsportal.com/r/211596969885/u/49/f/647410/c/35028/s/3fef9657/sc/30/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/211596969885/u/49/f/647410/c/35028/s/3fef9657/sc/30/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/tc8e-Iv4wDc"" height=""1"" width=""1""/>"
A New Edition of Hastings Center Report is Available (bioethicscom),http://news.feedzilla.com/en_us/stories/science/406891748?client_source=api&format=json,"Hastings Center Report (Vol. 44, No. 5, September-October 2014) is now
available online by subscription only. Articles include: ""Surgeons,
intensivists, and discretion to refuse requested treatments"" by Mark R.
Wicclair and Douglas B. White “Pregnancy is not a disease” by Daniel Brudney …
Read More

"
A New Edition of The Journal of Medicine & Philosophy is Available (bioethicscom),http://news.feedzilla.com/en_us/stories/science/406897696?client_source=api&format=json,"The Journal of Medicine & Philosophy (Volume 39, No. 5, October 2014) is now
available online by subscription only. Articles include: ""Flouting the demands
of justice? physician participation in executions"" by Adam Kadlac ""Love as a
regulative ideal in surrogate decision making"" … Read More

"
Antares Rocket Explodes On Launch,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/bbusGbdYZfw/story01.htm,"sneakyimp writes: The Antares rocket operated by Orbital Sciences Corporation exploded on launch due to a ""catastrophic anomaly"" after a flawless countdown. No injuries are reported and all personnel are accounted for. According to the audio stream hosted by local news affiliate WTVR's website, the Cygnus spacecraft contained classified crypto technology and efforts are being made to cordon off the wreckage area. Additionally, interviews of personnel and witness reports are to be limited to appropriate government agencies so that an accident report can be generated. This accident is likely to have a detrimental effect on the stock price of Orbital Sciences Corp, traded on the NYSE. The Antares rocket's engines are based on old soviet designs from the '60s. While this is sure to be a blow to NASA due to the cost, it may well boost the fortunes of SpaceX, a chief competitor of Orbital Sciences. Both companies were recently awarded resupply contracts by NASA.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Antares+Rocket+Explodes+On+Launch%3A+http%3A%2F%2Fbit.ly%2F1wAvHiX""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fscience.slashdot.org%2Fstory%2F14%2F10%2F28%2F2338222%2Fantares-rocket-explodes-on-launch%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://science.slashdot.org/story/14/10/28/2338222/antares-rocket-explodes-on-launch?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://science.slashdot.org/story/14/10/28/2338222/antares-rocket-explodes-on-launch?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=5890555&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/3fed6bbb/sc/1/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/211596958565/u/49/f/647410/c/35028/s/3fed6bbb/sc/1/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211596958565/u/49/f/647410/c/35028/s/3fed6bbb/sc/1/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211596958565/u/49/f/647410/c/35028/s/3fed6bbb/sc/1/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211596958565/u/49/f/647410/c/35028/s/3fed6bbb/sc/1/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211596958565/u/49/f/647410/c/35028/s/3fed6bbb/sc/1/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211596958565/u/49/f/647410/c/35028/s/3fed6bbb/sc/1/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/211596958565/u/49/f/647410/c/35028/s/3fed6bbb/sc/1/a2.htm""><img src=""http://da.feedsportal.com/r/211596958565/u/49/f/647410/c/35028/s/3fed6bbb/sc/1/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/211596958565/u/49/f/647410/c/35028/s/3fed6bbb/sc/1/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/bbusGbdYZfw"" height=""1"" width=""1""/>"
Apple Pay Competitor CurrentC Breached,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/k7vLcrQwEvY/story01.htm,"tranquilidad writes ""As previously discussed on Slashdot, CurrentC is a consortium of merchants attempting to create a ""more secure"" payment system. Some controversy surrounds CurrentC's requirements regarding the personal information required, their purchase-tracking intentions and retail stores blocking NFC in apparent support of CurrentC. Now news breaks that CurrentC has already been breached. CurrentC has issued the standard response, ""We take the security of our users' information extremely seriously.""<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Apple+Pay+Competitor+CurrentC+Breached%3A+http%3A%2F%2Fbit.ly%2F1wDDQU2""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fnews.slashdot.org%2Fstory%2F14%2F10%2F29%2F1641259%2Fapple-pay-competitor-currentc-breached%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://news.slashdot.org/story/14/10/29/1641259/apple-pay-competitor-currentc-breached?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://news.slashdot.org/story/14/10/29/1641259/apple-pay-competitor-currentc-breached?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=5896071&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/3ff54457/sc/21/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/211597010680/u/49/f/647410/c/35028/s/3ff54457/sc/21/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597010680/u/49/f/647410/c/35028/s/3ff54457/sc/21/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597010680/u/49/f/647410/c/35028/s/3ff54457/sc/21/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597010680/u/49/f/647410/c/35028/s/3ff54457/sc/21/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597010680/u/49/f/647410/c/35028/s/3ff54457/sc/21/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597010680/u/49/f/647410/c/35028/s/3ff54457/sc/21/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/211597010680/u/49/f/647410/c/35028/s/3ff54457/sc/21/a2.htm""><img src=""http://da.feedsportal.com/r/211597010680/u/49/f/647410/c/35028/s/3ff54457/sc/21/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/211597010680/u/49/f/647410/c/35028/s/3ff54457/sc/21/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/k7vLcrQwEvY"" height=""1"" width=""1""/>"
Better E-Waste Handling Helps Environment and Health (Scientific American),http://news.feedzilla.com/en_us/stories/science/406651604?client_source=api&format=json,"Plastic-removal machines will enable Ghana's e-waste recoverers to get at
valuable metal guts without burning off the exteriors. David Biello reports.


-- Read more on ScientificAmerican.com

"
Catastrophic Failure Dooms Antares Launch to Space Station – Gallery (Universe Today),http://news.feedzilla.com/en_us/stories/science/406868676?client_source=api&format=json,"NASA WALLOPS FLIGHT FACILITY, VA - Moments after a seemingly glorious liftoff,
an Orbital Sciences Corp. commercial Antares rocket suffered a catastrophic
failure and exploded into a spectacular aerial fireball over the launch pad at
NASA’s Wallops Flight Facility on the eastern shore of Virginia that doomed
the mission bound for the International Space Station […]

"
Dangerous Vulnerability Fixed In Wget,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/hfrjnOol0iM/story01.htm,"jones_supa writes: A critical flaw has been found and patched in the open source Wget file retrieval utility that is widely used on UNIX systems. The vulnerability is publicly identified as CVE-2014-4877. ""It was found that wget was susceptible to a symlink attack which could create arbitrary files, directories or symbolic links and set their permissions when retrieving a directory recursively through FTP,"" developer Vasyl Kaigorodov writes in Red Hat Bugzilla. A malicious FTP server can stomp over your entire filesystem, tweets HD Moore, chief research officer at Rapid 7, who is the original reporter of the bug.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Dangerous+Vulnerability+Fixed+In+Wget%3A+http%3A%2F%2Fbit.ly%2F1wCZ9EY""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Ftech.slashdot.org%2Fstory%2F14%2F10%2F29%2F1333216%2Fdangerous-vulnerability-fixed-in-wget%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://tech.slashdot.org/story/14/10/29/1333216/dangerous-vulnerability-fixed-in-wget?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://tech.slashdot.org/story/14/10/29/1333216/dangerous-vulnerability-fixed-in-wget?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=5895079&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/3ff3e29c/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/211596977373/u/49/f/647410/c/35028/s/3ff3e29c/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211596977373/u/49/f/647410/c/35028/s/3ff3e29c/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211596977373/u/49/f/647410/c/35028/s/3ff3e29c/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211596977373/u/49/f/647410/c/35028/s/3ff3e29c/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211596977373/u/49/f/647410/c/35028/s/3ff3e29c/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211596977373/u/49/f/647410/c/35028/s/3ff3e29c/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/211596977373/u/49/f/647410/c/35028/s/3ff3e29c/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/211596977373/u/49/f/647410/c/35028/s/3ff3e29c/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/211596977373/u/49/f/647410/c/35028/s/3ff3e29c/sc/4/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/hfrjnOol0iM"" height=""1"" width=""1""/>"
Drones Could 3D-Map Scores of Hectares of Land In Just a Few Hours,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/D9M3PHTIYNg/story01.htm,"sciencehabit writes: Unmanned drones aren't just for warfare. In recent years, they've been used to map wildlife and monitor crop growth. But current software can't always handle the vast volume of images they gather. Now, researchers have developed an algorithm that will allow drones to 3D-map scores of hectares of land in less than a day &mdash; an advance that is important for cost-effective farming, disaster relief, and surveillance operations. Their computer program directly projects the points from each photo onto a 3D space without knowing the exact shape of the land or the camera positions. As a result, the tie points don't necessarily match up, which means the same corn plant can have two projections on the model. When that happens, the algorithm automatically takes the middle point between the two projections as the more accurate location and adjusts the camera position accordingly, one image at a time. Because the algorithm tweaks far fewer things at each step, the shortcut drastically speeds up calculations. Once the software has adjusted the camera positions for all the photos, the software repeats the entire process &mdash; starting from projecting the points to the 3D space &mdash; to correct for any errors.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Drones+Could+3D-Map+Scores+of+Hectares+of+Land+In+Just+a+Few+Hours%3A+http%3A%2F%2Fbit.ly%2F1sEK9l6""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Ftech.slashdot.org%2Fstory%2F14%2F10%2F29%2F154214%2Fdrones-could-3d-map-scores-of-hectares-of-land-in-just-a-few-hours%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://tech.slashdot.org/story/14/10/29/154214/drones-could-3d-map-scores-of-hectares-of-land-in-just-a-few-hours?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://tech.slashdot.org/story/14/10/29/154214/drones-could-3d-map-scores-of-hectares-of-land-in-just-a-few-hours?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=5895595&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/3ff40907/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/211597006031/u/49/f/647410/c/35028/s/3ff40907/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597006031/u/49/f/647410/c/35028/s/3ff40907/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597006031/u/49/f/647410/c/35028/s/3ff40907/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597006031/u/49/f/647410/c/35028/s/3ff40907/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597006031/u/49/f/647410/c/35028/s/3ff40907/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597006031/u/49/f/647410/c/35028/s/3ff40907/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/211597006031/u/49/f/647410/c/35028/s/3ff40907/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/211597006031/u/49/f/647410/c/35028/s/3ff40907/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/211597006031/u/49/f/647410/c/35028/s/3ff40907/sc/4/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/D9M3PHTIYNg"" height=""1"" width=""1""/>"
Ferns can change their neighbour’s sex (Science Alert),http://news.feedzilla.com/en_us/stories/science/406810508?client_source=api&format=json,"Japanese climbing ferns are able to engineer the sex of nearby ferns to ensure
equal numbers of male and female plants.

"
